Descrição,Link
Resolução CONSUP/IFSC 142/2025,https://www.ifsc.edu.br/en/web/campus-garopaba/tecnicos-integrados
PPCs Atuais e Informações Institucionais,https://www.ifsc.edu.br/en/web/campus-garopaba/tecnicos-integrados
Materiais PPC Lazer (Drive - Prof. Renato),https://drive.google.com/drive/folders/1A7zIGiHCl6T8P04eF6l-Jz9V69ENSiTv
Documento Master de Reformulação (Local),./plano_reformulacao_master.pdf
Análise de Informática (Local),./TECNICO-INFORMATICA/analise_ppc_informatica.pdf
Análise de Administração (Local),./TECNICO-ADMINISTRACAO/analise_ppc_administracao.pdf
PPC Lazer (Modelo),./TEC-LAZER-MODELO/RESOL_CEPE_28-2025_CRI_Tcnico_em_Lazer_GPB_2.pdf
