,REGISTRO DE CORREÇÕES: PPC TÉCNICO INTEGRADO EM ADM,,,,,,,
,"Orientações básicas:
1 - Identifique a seção a qual você fará a revisão olhando os títulos na coluna A.
2 - Selecione o seu nome na lista suspensa REVISOR, na coluna E.
3 - Aponte os itens que precisam de atenção numerando-os em ordem 1, 2 (já existem).
4 - Inclua mais linhas para mais itens, se necessário. ",,,,,,,
DOCUMENTO PARA EDIÇÃO CONJUNTA DO TEXTO DAS SEÇÕES: ,,https://docs.google.com/document/d/12aX2UtLcIyeVOF9OHnnZI3r_vpSWP907pjI9H26KWiw/edit?usp=sharing&authuser=1,,,,,,
,,,,,,,,
N,SEÇÃO,ITEM,PÁG,REVISOR,DESCRIÇÃO DO PROBLEMA,SUGESTÃO DE CORREÇÃO,DEVOLUTIVA DE CORREÇÃO,STATUS
,I – DADOS DA INSTITUIÇÃO,,,,,,,
13,Subitem IV 13.1 e 13.2,Objetivo geral e específico,p.9,JACQUELINE NARCISO BASTOS,"Incluí pequenas sugestões de texto nos itens 13.1 e 13.2 hoje lá no texto da Fabi, no drive dela (deixei em azul). Esperar ela ler e incluir aqui se estiver ok. Observei que o texto que está no item 13.2 ainda não é o da Fabi.",Copiar literalmente o texto do drive da Fabi (já incluí lá em azul para ela ler).,,
3,"Sbitens IV, 13, 15",,pp. 9 e 10,JACQUELINE NARCISO BASTOS,Dúvida: o PDF já está atualizado com os textos da Fabi?," Dei uma sugestões no texto da Fabi hoje, se ela concordar, precisa autalizar o texto no PDF.",Documento atualizado. Os textos dos Subitens 10 a 16 correspondem exatamente à versão consolidada que a Profa. Fabiana trabalhou e disponibilizou na etapa prévia. A Metodologia (Subitem 17) foi revisada e saneada para 100% de aderência ao curso de Administração.,Concluído
,V – ESTRUTURA CURRICULAR DO CURSO,,,,,,,
1,Subitem V.3.1 (Ementa 7),Notação de Semestres (LPL Ano 1),p. 18,ANDRE LUIZ SILVA DE MORAES,"Rasura no documento docente indicando ""1º e 1º semestre"" para a UC de Língua Portuguesa — Ano 1.","Decodificação e correção para ""1º e 2º semestres"" (Ano 1, 80h anuais), mantendo a proporcionalidade do curso.",,Concluído
2,Subitem V.2.2 & V.3.2 (Ementa 36),Matriz Curricular (Matemática p/ Adm),p. 7 / p. 48,ANDRE LUIZ SILVA DE MORAES,"UC ""Matemática para Administração"" (40h) posicionada erroneamente na tabela do 1º Ano da Formação Geral.",Realocação da UC para a tabela do 2º Ano (3º semestre / Formação Específica) em sintonia com a matriz de referência.,,Concluído
3,Subitem V.2.4,Cálculo de Subtotais e Síntese da Matriz,p. 6-11,ANDRE LUIZ SILVA DE MORAES,"Subtotal de Formação Geral do 1º Ano estava calculado como 840h em vez de 880h, propagando erro na síntese final.","Recálculo do subtotal (880h) e atualização da síntese: Formação Geral (2.280h), Técnica (680h), Politécnico (240h), Total 3.200h.",,Concluído
4,Subitem V.3,Bibliografia Fantasma / Truncada,p. 12-68,ANDRE LUIZ SILVA DE MORAES,"Inserção de linhas fantasma (""3º título pendente"") na Bibliografia Complementar em UCs com menos de 3 obras na fonte.","Remoção dos placeholders excedentes nas tabelas TeX, espelhando estritamente os títulos reais existentes na fonte.",,Concluído
5,Subitem V.3.1,Desmembramento de UCs (Formação Geral),p. 12-68,ANDRE LUIZ SILVA DE MORAES,Quantitativo de blocos ementários divergente da matriz (Espanhol sem desmembramento por ano; Geografia/História desalinhadas).,"Desmembramento de Espanhol em 2 blocos (Ano 1/2), Geografia em 2 blocos (Ano 1/3) e História em 2 blocos (Ano 2/3), alinhando a matriz para 45 UCs.",,Concluído
6,Sumário (\tableofcontents),Sumário PDF e Navegação Interativa,p. 1,ANDRE LUIZ SILVA DE MORAES,O sumário do PDF compilado (\tableofcontents) não permitia o clique direto para saltar até as seções e ementas.,"Configuração do pacote hyperref (hypersetup) na classe ifsc-ppc.cls, ativando hiperlinks no sumário e bookmarks no PDF.",,Concluído
7,Subitem V.2 & V.3,"Alinhamento de Semestres (Física, Química, Gestão de Operações, Biologia)","p. 6-11, 12-68",ANDRE LUIZ SILVA DE MORAES,"Ambiguidade de redação nos semestres das ementas (Física III constando como 4º/5º, Química II como 2º/3º, Química III como 1º, Gestão de Operações como 4º/5º e Biologia 3 como 1º/2º).","Correção dos cabeçalhos para os semestres reais: Física III (5º/6º sem - 80h), Química II (3º/4º sem - 80h), Química III (5º sem - 40h), Gestão de Operações (3º/4º sem - 80h) e Biologia 3 (5º/6º sem - 80h).",,Concluído
